,label,combined_symptoms
33,Chronic cholestasis,itching  vomiting  nausea  loss of appetite  abdominal pain  yellowing of eyes           
34,Chronic cholestasis,itching  vomiting  yellowish skin  loss of appetite  abdominal pain  yellowing of eyes           
35,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  abdominal pain  yellowing of eyes           
36,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  yellowing of eyes           
37,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain           
38,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
39,Chronic cholestasis,itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes          
40,Drug Reaction,itching  skin rash  stomach pain  burning micturition  spotting  urination            
41,Drug Reaction,itching  stomach pain  burning micturition  spotting  urination             
42,Drug Reaction,itching  skin rash  burning micturition  spotting  urination             
43,Drug Reaction,itching  skin rash  stomach pain  spotting  urination             
44,Drug Reaction,itching  skin rash  stomach pain  burning micturition             
45,Drug Reaction, skin rash  stomach pain  burning micturition  spotting  urination             
46,Drug Reaction,itching  stomach pain  burning micturition  spotting  urination             
47,Drug Reaction,itching  skin rash  burning micturition  spotting  urination             
48,Drug Reaction,itching  skin rash  stomach pain  spotting  urination             
49,Drug Reaction,itching  skin rash  stomach pain  burning micturition             
50,Peptic ulcer diseae, vomiting  loss of appetite  abdominal pain  passage of gases  internal itching            
51,Peptic ulcer diseae, vomiting  indigestion  abdominal pain  passage of gases  internal itching            
52,Peptic ulcer diseae, indigestion  loss of appetite  abdominal pain  passage of gases  internal itching            
53,Peptic ulcer diseae, vomiting  loss of appetite  abdominal pain  passage of gases  internal itching            
54,Peptic ulcer diseae, vomiting  indigestion  abdominal pain  passage of gases  internal itching            
55,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  passage of gases  internal itching            
56,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  internal itching            
57,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases            
58,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
59,Peptic ulcer diseae, vomiting  indigestion  loss of appetite  abdominal pain  passage of gases  internal itching           
60,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
61,AIDS, patches in throat  high fever  extra marital contacts              
62,AIDS, muscle wasting  high fever  extra marital contacts              
63,AIDS, muscle wasting  patches in throat  extra marital contacts              
64,AIDS, muscle wasting  patches in throat  high fever              
65,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
66,AIDS, muscle wasting  patches in throat  high fever  extra marital contacts             
67,AIDS, patches in throat  high fever  extra marital contacts              
68,AIDS, muscle wasting  high fever  extra marital contacts              
69,AIDS, muscle wasting  patches in throat  high fever              
70,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
71,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria       
72,Diabetes , weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
73,Diabetes , fatigue  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
74,Diabetes , fatigue  weight loss  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
75,Diabetes , fatigue  weight loss  restlessness  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
76,Diabetes , fatigue  weight loss  restlessness  lethargy  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria        
77,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  obesity  excessive hunger  increased appetite  polyuria        
78,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  excessive hunger  increased appetite  polyuria        
79,Diabetes , fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  increased appetite  polyuria        
80,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
81,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
82,Gastroenteritis, sunken eyes  dehydration  diarrhoea              
83,Gastroenteritis, vomiting  dehydration  diarrhoea              
84,Gastroenteritis, vomiting  sunken eyes  diarrhoea              
85,Gastroenteritis, vomiting  sunken eyes  dehydration              
86,Gastroenteritis, vomiting  sunken eyes  dehydration  diarrhoea             
87,Gastroenteritis, sunken eyes  dehydration  diarrhoea              
88,Gastroenteritis, vomiting  dehydration  diarrhoea              
89,Gastroenteritis, vomiting  sunken eyes  diarrhoea              
90,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
91,Bronchial Asthma, cough  high fever  breathlessness  family history  mucoid sputum            
92,Bronchial Asthma, fatigue  high fever  breathlessness  family history  mucoid sputum            
93,Bronchial Asthma, fatigue  cough  breathlessness  family history  mucoid sputum            
94,Bronchial Asthma, fatigue  cough  high fever  family history  mucoid sputum            
95,Bronchial Asthma, fatigue  cough  high fever  breathlessness  mucoid sputum            
96,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history            
97,Bronchial Asthma, fatigue  cough  high fever  breathlessness  family history  mucoid sputum           
98,Bronchial Asthma, cough  high fever  breathlessness  family history  mucoid sputum            
99,Bronchial Asthma, fatigue  high fever  breathlessness  family history  mucoid sputum            
100,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
101,Hypertension , chest pain  dizziness  loss of balance  lack of concentration             
102,Hypertension , headache  dizziness  loss of balance  lack of concentration             
103,Hypertension , headache  chest pain  loss of balance  lack of concentration             
104,Hypertension , headache  chest pain  dizziness  lack of concentration             
105,Hypertension , headache  chest pain  dizziness  loss of balance             
106,Hypertension , headache  chest pain  dizziness  loss of balance  lack of concentration            
107,Hypertension , chest pain  dizziness  loss of balance  lack of concentration             
108,Hypertension , headache  dizziness  loss of balance  lack of concentration             
109,Hypertension , headache  chest pain  loss of balance  lack of concentration             
110,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances        
111,Migraine, indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
112,Migraine, acidity  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
113,Migraine, acidity  indigestion  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances         
114,Migraine, acidity  indigestion  headache  excessive hunger  stiff neck  depression  irritability  visual disturbances         
115,Migraine, acidity  indigestion  headache  blurred and distorted vision  stiff neck  depression  irritability  visual disturbances         
116,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  depression  irritability  visual disturbances         
117,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  irritability  visual disturbances         
118,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  visual disturbances         
119,Migraine, acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability         
120,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
121,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
122,Cervical spondylosis, weakness in limbs  neck pain  dizziness  loss of balance             
123,Cervical spondylosis, back pain  neck pain  dizziness  loss of balance             
124,Cervical spondylosis, back pain  weakness in limbs  dizziness  loss of balance             
125,Cervical spondylosis, back pain  weakness in limbs  neck pain  loss of balance             
126,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness             
127,Cervical spondylosis, back pain  weakness in limbs  neck pain  dizziness  loss of balance            
128,Cervical spondylosis, weakness in limbs  neck pain  dizziness  loss of balance             
129,Cervical spondylosis, back pain  neck pain  dizziness  loss of balance             
130,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
131,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
132,Paralysis (brain hemorrhage), headache  weakness of one body side  altered sensorium              
133,Paralysis (brain hemorrhage), vomiting  weakness of one body side  altered sensorium              
134,Paralysis (brain hemorrhage), vomiting  headache  altered sensorium              
135,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side              
136,Paralysis (brain hemorrhage), vomiting  headache  weakness of one body side  altered sensorium             
137,Paralysis (brain hemorrhage), headache  weakness of one body side  altered sensorium              
138,Paralysis (brain hemorrhage), vomiting  weakness of one body side  altered sensorium              
139,Paralysis (brain hemorrhage), vomiting  headache  altered sensorium              
140,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
141,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain         
142,Jaundice, vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
143,Jaundice,itching  fatigue  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
144,Jaundice,itching  vomiting  weight loss  high fever  yellowish skin  dark urine  abdominal pain          
145,Jaundice,itching  vomiting  fatigue  high fever  yellowish skin  dark urine  abdominal pain          
146,Jaundice,itching  vomiting  fatigue  weight loss  yellowish skin  dark urine  abdominal pain          
147,Jaundice,itching  vomiting  fatigue  weight loss  high fever  dark urine  abdominal pain          
148,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  abdominal pain          
149,Jaundice,itching  vomiting  fatigue  weight loss  high fever  yellowish skin  dark urine          
150,Malaria, chills  vomiting  high fever  sweating  headache  nausea  muscle pain          
151,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
152,Malaria, chills  vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain         
153,Malaria, vomiting  high fever  sweating  headache  nausea  diarrhoea  muscle pain          
154,Malaria, chills  high fever  sweating  headache  nausea  diarrhoea  muscle pain          
155,Malaria, chills  vomiting  sweating  headache  nausea  diarrhoea  muscle pain          
156,Malaria, chills  vomiting  high fever  headache  nausea  diarrhoea  muscle pain          
157,Malaria, chills  vomiting  high fever  sweating  nausea  diarrhoea  muscle pain          
158,Malaria, chills  vomiting  high fever  sweating  headache  diarrhoea  muscle pain          
159,Malaria, chills  vomiting  high fever  sweating  headache  nausea  muscle pain          
160,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body      
161,Chicken pox, skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
162,Chicken pox,itching  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
163,Chicken pox,itching  skin rash  lethargy  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
164,Chicken pox,itching  skin rash  fatigue  high fever  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
165,Chicken pox,itching  skin rash  fatigue  lethargy  headache  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
166,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  loss of appetite  mild fever  swelled lymph nodes  malaise  red spots over body       
167,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  mild fever  swelled lymph nodes  malaise  red spots over body       
168,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  swelled lymph nodes  malaise  red spots over body       
169,Chicken pox,itching  skin rash  fatigue  lethargy  high fever  headache  loss of appetite  mild fever  malaise  red spots over body       
170,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  muscle pain  red spots over body    
171,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  red spots over body    
172,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain    
173,Dengue, skin rash  chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body   
174,Dengue, chills  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
175,Dengue, skin rash  joint pain  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
176,Dengue, skin rash  chills  vomiting  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
177,Dengue, skin rash  chills  joint pain  fatigue  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
178,Dengue, skin rash  chills  joint pain  vomiting  high fever  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
179,Dengue, skin rash  chills  joint pain  vomiting  fatigue  headache  nausea  loss of appetite  pain behind the eyes  back pain  malaise  muscle pain  red spots over body    
180,Typhoid, chills  vomiting  fatigue  high fever  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
181,Typhoid, chills  vomiting  fatigue  high fever  headache  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
182,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
183,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  diarrhoea  toxic look (typhos)  belly pain       
184,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  toxic look (typhos)  belly pain       
185,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  belly pain       
186,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)       
187,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
188,Typhoid, chills  vomiting  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain      
189,Typhoid, chills  fatigue  high fever  headache  nausea  constipation  abdominal pain  diarrhoea  toxic look (typhos)  belly pain       
190,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
191,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain      
192,hepatitis A, vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
193,hepatitis A, joint pain  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
194,hepatitis A, joint pain  vomiting  dark urine  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
195,hepatitis A, joint pain  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
196,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  loss of appetite  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
197,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  abdominal pain  diarrhoea  mild fever  yellowing of eyes  muscle pain       
198,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  diarrhoea  mild fever  yellowing of eyes  muscle pain       
199,hepatitis A, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  mild fever  yellowing of eyes  muscle pain       
200,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
201,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections     
202,Hepatitis B, fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
203,Hepatitis B,itching  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
204,Hepatitis B,itching  fatigue  yellowish skin  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
205,Hepatitis B,itching  fatigue  lethargy  dark urine  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
206,Hepatitis B,itching  fatigue  lethargy  yellowish skin  loss of appetite  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
207,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  abdominal pain  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
208,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  yellow urine  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
209,Hepatitis B,itching  fatigue  lethargy  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes  malaise  receiving blood transfusion  receiving unsterile injections      
210,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  family history            
211,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
212,Hepatitis C, yellowish skin  nausea  loss of appetite  yellowing of eyes  family history            
213,Hepatitis C, fatigue  nausea  loss of appetite  yellowing of eyes  family history            
214,Hepatitis C, fatigue  yellowish skin  loss of appetite  yellowing of eyes  family history            
215,Hepatitis C, fatigue  yellowish skin  nausea  yellowing of eyes  family history            
216,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  family history            
217,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes            
218,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
219,Hepatitis C, fatigue  yellowish skin  nausea  loss of appetite  yellowing of eyes  family history           
220,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes        
221,Hepatitis D, vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
222,Hepatitis D, joint pain  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
223,Hepatitis D, joint pain  vomiting  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
224,Hepatitis D, joint pain  vomiting  fatigue  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes         
225,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes         
226,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes         
227,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  abdominal pain  yellowing of eyes         
228,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  yellowing of eyes         
229,Hepatitis D, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain         
230,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  coma  stomach bleeding     
231,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
232,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding    
233,Hepatitis E, vomiting  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
234,Hepatitis E, joint pain  fatigue  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
235,Hepatitis E, joint pain  vomiting  high fever  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
236,Hepatitis E, joint pain  vomiting  fatigue  yellowish skin  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
237,Hepatitis E, joint pain  vomiting  fatigue  high fever  dark urine  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
238,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
239,Hepatitis E, joint pain  vomiting  fatigue  high fever  yellowish skin  dark urine  loss of appetite  abdominal pain  yellowing of eyes  acute liver failure  coma  stomach bleeding     
240,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
241,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
242,Alcoholic hepatitis, yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload           
243,Alcoholic hepatitis, vomiting  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload           
244,Alcoholic hepatitis, vomiting  yellowish skin  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload           
245,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  distention of abdomen  history of alcohol consumption  fluid overload           
246,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  history of alcohol consumption  fluid overload           
247,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  fluid overload           
248,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption           
249,Alcoholic hepatitis, vomiting  yellowish skin  abdominal pain  swelling of stomach  distention of abdomen  history of alcohol consumption  fluid overload          
250,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
251,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum 
252,Tuberculosis, vomiting  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
253,Tuberculosis, chills  fatigue  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
254,Tuberculosis, chills  vomiting  weight loss  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
255,Tuberculosis, chills  vomiting  fatigue  cough  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
256,Tuberculosis, chills  vomiting  fatigue  weight loss  high fever  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
257,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  breathlessness  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
258,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  sweating  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
259,Tuberculosis, chills  vomiting  fatigue  weight loss  cough  high fever  breathlessness  loss of appetite  mild fever  yellowing of eyes  swelled lymph nodes  malaise  phlegm  chest pain  blood in sputum  
260,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
261,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain
262,Common Cold, chills  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
263,Common Cold, continuous sneezing  fatigue  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
264,Common Cold, continuous sneezing  chills  cough  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
265,Common Cold, continuous sneezing  chills  fatigue  high fever  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
266,Common Cold, continuous sneezing  chills  fatigue  cough  headache  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
267,Common Cold, continuous sneezing  chills  fatigue  cough  high fever  swelled lymph nodes  malaise  phlegm  throat irritation  redness of eyes  sinus pressure  runny nose  congestion  chest pain  loss of smell  muscle pain 
